"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"ローザ・ルクセンブルク","ローザ・ルクセンブルク","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ローザ・ルクセンブルクは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"レーニン","レーニン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","レーニンは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"トロツキー","トロツキー","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","トロツキーは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"スターリン","スターリン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","スターリンは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ニコライ2世","ニコライ2世","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ニコライ2世は19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ムスタファ・ケマル","ムスタファ・ケマル","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ムスタファ・ケマルは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"レザー・シャー","レザー・シャー","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","レザー・シャーは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"セオドア・ルーズベルト","セオドア・ルーズベルト","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","セオドア・ルーズベルトは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ウッドロウ・ウィルソン","ウッドロウ・ウィルソン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ウッドロウ・ウィルソンは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"フランクリン・ルーズベルト","フランクリン・ルーズベルト","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","フランクリン・ルーズベルトは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"エレノア・ルーズベルト","エレノア・ルーズベルト","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","エレノア・ルーズベルトは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ヘレン・ケラー","ヘレン・ケラー","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ヘレン・ケラーは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"マーク・トウェイン","マーク・トウェイン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","マーク・トウェインは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ゴッホ","ゴッホ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ゴッホは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"モネ","モネ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","モネは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ピカソ","ピカソ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ピカソは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ロダン","ロダン","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ロダンは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ガウディ","ガウディ","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ガウディは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ココ・シャネル","ココ・シャネル","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","ココ・シャネルは19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"夏目漱石","夏目漱石","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","夏目漱石は19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"野口英世","野口英世","世界が深く結びついた時代","19世紀から20世紀初めの世界","近代社会を動かした人","野口英世は19世紀から20世紀初めの世界で帝国主義、科学、芸術、教育、労働運動、独立運動に関わりました。世界が速く結びつく中で生まれた変化を示します。","🚂","カタログのみ"
"ウィンストン・チャーチル","ウィンストン・チャーチル","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ウィンストン・チャーチルは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ネヴィル・チェンバレン","ネヴィル・チェンバレン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ネヴィル・チェンバレンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"アドルフ・ヒトラー","アドルフ・ヒトラー","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","アドルフ・ヒトラーは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ベニート・ムッソリーニ","ベニート・ムッソリーニ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ベニート・ムッソリーニは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"フランシスコ・フランコ","フランシスコ・フランコ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","フランシスコ・フランコは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"シャルル・ド・ゴール","シャルル・ド・ゴール","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","シャルル・ド・ゴールは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"フィリップ・ペタン","フィリップ・ペタン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","フィリップ・ペタンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ヨシップ・ブロズ・チトー","ヨシップ・ブロズ・チトー","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ヨシップ・ブロズ・チトーは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ハリー・トルーマン","ハリー・トルーマン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ハリー・トルーマンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ドワイト・アイゼンハワー","ドワイト・アイゼンハワー","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ドワイト・アイゼンハワーは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ダグラス・マッカーサー","ダグラス・マッカーサー","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ダグラス・マッカーサーは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ジョージ・マーシャル","ジョージ・マーシャル","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジョージ・マーシャルは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ジョージ・パットン","ジョージ・パットン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジョージ・パットンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"チェスター・ニミッツ","チェスター・ニミッツ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","チェスター・ニミッツは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"山本五十六","山本五十六","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","山本五十六は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"東条英機","東条英機","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","東条英機は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"昭和天皇","昭和天皇","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","昭和天皇は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"近衛文麿","近衛文麿","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","近衛文麿は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"石原莞爾","石原莞爾","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","石原莞爾は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"金日成","金日成","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","金日成は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"李承晩","李承晩","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","李承晩は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"アンネ・フランク","アンネ・フランク","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","アンネ・フランクは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"シモーヌ・ヴェイユ","シモーヌ・ヴェイユ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","シモーヌ・ヴェイユは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ハンナ・アーレント","ハンナ・アーレント","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ハンナ・アーレントは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ラウル・ワレンバーグ","ラウル・ワレンバーグ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ラウル・ワレンバーグは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"オスカー・シンドラー","オスカー・シンドラー","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","オスカー・シンドラーは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"杉原千畝","杉原千畝","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","杉原千畝は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ヤヌシュ・コルチャック","ヤヌシュ・コルチャック","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ヤヌシュ・コルチャックは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ヴィクトール・フランクル","ヴィクトール・フランクル","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ヴィクトール・フランクルは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"エディット・シュタイン","エディット・シュタイン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","エディット・シュタインは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"アラン・チューリング","アラン・チューリング","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","アラン・チューリングは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ジョン・フォン・ノイマン","ジョン・フォン・ノイマン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジョン・フォン・ノイマンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ロバート・オッペンハイマー","ロバート・オッペンハイマー","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ロバート・オッペンハイマーは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"エンリコ・フェルミ","エンリコ・フェルミ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","エンリコ・フェルミは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ニールス・ボーア","ニールス・ボーア","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ニールス・ボーアは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"リチャード・ファインマン","リチャード・ファインマン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","リチャード・ファインマンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"湯川秀樹","湯川秀樹","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","湯川秀樹は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"朝永振一郎","朝永振一郎","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","朝永振一郎は20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"レイチェル・カーソン","レイチェル・カーソン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","レイチェル・カーソンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","図鑑"
"ジョージ・オーウェル","ジョージ・オーウェル","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジョージ・オーウェルは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"アーネスト・ヘミングウェイ","アーネスト・ヘミングウェイ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","アーネスト・ヘミングウェイは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"チャップリン","チャップリン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","チャップリンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ベルトルト・ブレヒト","ベルトルト・ブレヒト","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ベルトルト・ブレヒトは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"パール・バック","パール・バック","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","パール・バックは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"マーガレット・ミード","マーガレット・ミード","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","マーガレット・ミードは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"フリーダ・カーロ","フリーダ・カーロ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","フリーダ・カーロは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ディエゴ・リベラ","ディエゴ・リベラ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ディエゴ・リベラは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"マリア・モンテッソーリ","マリア・モンテッソーリ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","マリア・モンテッソーリは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ジャン・モネ","ジャン・モネ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジャン・モネは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ロベール・シューマン","ロベール・シューマン","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ロベール・シューマンは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"クワメ・エンクルマ","クワメ・エンクルマ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","クワメ・エンクルマは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ジョモ・ケニヤッタ","ジョモ・ケニヤッタ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジョモ・ケニヤッタは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ホセ・マルティ","ホセ・マルティ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ホセ・マルティは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"レフ・ランダウ","レフ・ランダウ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","レフ・ランダウは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"アンドレイ・サハロフ","アンドレイ・サハロフ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","アンドレイ・サハロフは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"シモーヌ・ド・ボーヴォワ","シモーヌ・ド・ボーヴォワ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","シモーヌ・ド・ボーヴォワは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ジャン＝ポール・サルトル","ジャン＝ポール・サルトル","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ジャン＝ポール・サルトルは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ガブリエラ・ミストラ","ガブリエラ・ミストラ","二つの世界大戦の時代","20世紀前半の世界","戦争と平和を考える人","ガブリエラ・ミストラは20世紀前半の世界で世界大戦、独裁、抵抗、科学、報道、人権に関わりました。戦争の被害と、平和を求めるしくみを考える人物です。","🕯️","カタログのみ"
"ジャワハルラール・ネルー","ジャワハルラール・ネルー","今につながる時代","戦後から現代の世界","人権と未来を考える人","ジャワハルラール・ネルーは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"インディラ・ガンディー","インディラ・ガンディー","今につながる時代","戦後から現代の世界","人権と未来を考える人","インディラ・ガンディーは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ベナジル・ブット","ベナジル・ブット","今につながる時代","戦後から現代の世界","人権と未来を考える人","ベナジル・ブットは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"アウンサンスーチー","アウンサンスーチー","今につながる時代","戦後から現代の世界","人権と未来を考える人","アウンサンスーチーは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"リー・クアンユー","リー・クアンユー","今につながる時代","戦後から現代の世界","人権と未来を考える人","リー・クアンユーは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ダライ・ラマ14世","ダライ・ラマ14世","今につながる時代","戦後から現代の世界","人権と未来を考える人","ダライ・ラマ14世は戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"デズモンド・ツツ","デズモンド・ツツ","今につながる時代","戦後から現代の世界","人権と未来を考える人","デズモンド・ツツは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"パトリス・ルムンバ","パトリス・ルムンバ","今につながる時代","戦後から現代の世界","人権と未来を考える人","パトリス・ルムンバは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ジュリウス・ニエレレ","ジュリウス・ニエレレ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ジュリウス・ニエレレは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"トーマス・サンカラ","トーマス・サンカラ","今につながる時代","戦後から現代の世界","人権と未来を考える人","トーマス・サンカラは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"エレン・ジョンソン・サーリーフ","エレン・ジョンソン・サーリーフ","今につながる時代","戦後から現代の世界","人権と未来を考える人","エレン・ジョンソン・サーリーフは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ルース・ベイダー・ギンズバーグ","ルース・ベイダー・ギンズバーグ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ルース・ベイダー・ギンズバーグは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ローザ・パークス","ローザ・パークス","今につながる時代","戦後から現代の世界","人権と未来を考える人","ローザ・パークスは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"マルコムX","マルコムX","今につながる時代","戦後から現代の世界","人権と未来を考える人","マルコムXは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"セサル・チャベス","セサル・チャベス","今につながる時代","戦後から現代の世界","人権と未来を考える人","セサル・チャベスは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ドロレス・ウエルタ","ドロレス・ウエルタ","今につながる時代","戦後から現代の世界","人権と未来を考える人","ドロレス・ウエルタは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ハーヴェイ・ミルク","ハーヴェイ・ミルク","今につながる時代","戦後から現代の世界","人権と未来を考える人","ハーヴェイ・ミルクは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"ジェーン・グドール","ジェーン・グドール","今につながる時代","戦後から現代の世界","人権と未来を考える人","ジェーン・グドールは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","図鑑"
"シルビア・アール","シルビア・アール","今につながる時代","戦後から現代の世界","人権と未来を考える人","シルビア・アールは戦後から現代の世界で独立、人権、科学、環境、教育、情報技術、文化に関わりました。国境をこえる課題に人々が向き合う姿を示します。","🌐","カタログのみ"
